year,fips,date,cases
2020,1083,10,81092
2020,1083,11,110818
2020,1083,12,173775
2020,1085,3,6
2020,1085,4,713
2020,1085,5,4314
2020,1085,6,11038
2020,1085,7,15770
2020,1085,8,18364
2020,1085,9,19210
2020,1085,10,21421
2020,1085,11,22933
2020,1085,12,27191
2020,1087,3,3
2020,1087,4,577
2020,1087,5,1686
2020,1087,6,3830
2020,1087,7,7614
2020,1087,8,11505
2020,1087,9,13996
2020,1087,10,16118
2020,1087,11,19675
2020,1087,12,27038
2020,1089,3,558
2020,1089,4,5500
2020,1089,5,8477
2020,1089,6,18307
2020,1089,7,91584
2020,1089,8,178694
2020,1089,9,219191
2020,1089,10,273979
2020,1089,11,342941
2020,1089,12,557667
2020,1091,3,19
2020,1091,4,765
2020,1091,5,3273
2020,1091,6,6590
2020,1091,7,12256
2020,1091,8,18301
2020,1091,9,20733
2020,1091,10,28253
2020,1091,11,34112
2020,1091,12,47239
2020,1093,3,58
2020,1093,4,1496
2020,1093,5,3171
2020,1093,6,4673
2020,1093,7,11393
2020,1093,8,20645
2020,1093,9,26943
2020,1093,10,32343
2020,1093,11,38326
2020,1093,12,54591
2020,1095,3,30
2020,1095,4,4326
2020,1095,5,17772
2020,1095,6,29465
2020,1095,7,68839
2020,1095,8,103720
2020,1095,9,113543
2020,1095,10,131234
2020,1095,11,161393
2020,1095,12,247308
2020,1097,3,242
2020,1097,4,16400
2020,1097,5,52075
2020,1097,6,84551
2020,1097,7,175849
2020,1097,8,336393
2020,1097,9,387768
2020,1097,10,460990
2020,1097,11,557696
2020,1097,12,706791
2020,1099,3,4
2020,1099,4,231
2020,1099,5,674
2020,1099,6,3667
2020,1099,7,9654
2020,1099,8,15360
2020,1099,9,17094
2020,1099,10,19346
2020,1099,11,21947
2020,1099,12,30452
2020,1101,3,182
2020,1101,4,5348
2020,1101,5,27778
2020,1101,6,84309
2020,1101,7,153267
2020,1101,8,223180
2020,1101,9,255014
2020,1101,10,298342
2020,1101,11,347838
2020,1101,12,441498
2020,1103,3,100
2020,1103,4,1312
2020,1103,5,4104
2020,1103,6,18539
2020,1103,7,47988
2020,1103,8,79275
2020,1103,9,93815
2020,1103,10,119417
2020,1103,11,166092
2020,1103,12,274307
2020,1105,4,169
2020,1105,5,727
2020,1105,6,2272
2020,1105,7,9020
2020,1105,8,15085
2020,1105,9,16011
2020,1105,10,17765
2020,1105,11,19324
2020,1105,12,23747
2020,1107,3,13
2020,1107,4,880
2020,1107,5,2419
2020,1107,6,4509
2020,1107,7,8952
2020,1107,8,14237
2020,1107,9,18515
2020,1107,10,24004
2020,1107,11,32438
2020,1107,12,46033
2020,1109,3,23
2020,1109,4,1002
2020,1109,5,3642
2020,1109,6,9469
2020,1109,7,16206
2020,1109,8,25016
2020,1109,9,33553
2020,1109,10,40122
2020,1109,11,44801
2020,1109,12,55266
2020,1111,3,9
2020,1111,4,1180
2020,1111,5,3416
2020,1111,6,4286
2020,1111,7,9161
2020,1111,8,13623
2020,1111,9,17654
2020,1111,10,23919
2020,1111,11,28424
2020,1111,12,35599
2020,1113,3,7
2020,1113,4,969
2020,1113,5,3219
2020,1113,6,9132
2020,1113,7,25632
2020,1113,8,44967
2020,1113,9,50995
2020,1113,10,58573
2020,1113,11,62914
2020,1113,12,78128
2020,1115,3,88
2020,1115,4,1418
2020,1115,5,2852
2020,1115,6,5721
2020,1115,7,22660
2020,1115,8,48051
2020,1115,9,64173
2020,1115,10,84834
2020,1115,11,112365
2020,1115,12,169953
2020,1117,3,604
2020,1117,4,6838
2020,1117,5,12421
2020,1117,6,21592
2020,1117,7,63414
2020,1117,8,116062
2020,1117,9,162490
2020,1117,10,214880
2020,1117,11,271980
2020,1117,12,409896
2020,1119,3,2
2020,1119,4,919
2020,1119,5,4311
2020,1119,6,7745
2020,1119,7,9695
2020,1119,8,11857
2020,1119,9,12578
2020,1119,10,14270
2020,1119,11,16001
2020,1119,12,21945
2020,1121,3,40
2020,1121,4,1152
2020,1121,5,2506
2020,1121,6,5174
2020,1121,7,17577
2020,1121,8,43667
2020,1121,9,59745
2020,1121,10,77233
2020,1121,11,94988
2020,1121,12,138061
2020,1123,3,54
2020,1123,4,4382
2020,1123,5,11034
2020,1123,6,14684
2020,1123,7,21548
2020,1123,8,29869
2020,1123,9,33565
2020,1123,10,39230
2020,1123,11,47907
2020,1123,12,65500
2020,1125,3,215
2020,1125,4,3802
2020,1125,5,12475
2020,1125,6,40343
2020,1125,7,91893
2020,1125,8,146796
2020,1125,9,213337
2020,1125,10,304435
2020,1125,11,356744
2020,1125,12,494864
2020,1127,3,184
2020,1127,4,2299
2020,1127,5,5140
2020,1127,6,17995
2020,1127,7,36667
2020,1127,8,52122
2020,1127,9,64920
2020,1127,10,81590
2020,1127,11,99691
2020,1127,12,140112
2020,1129,3,22
2020,1129,4,443
2020,1129,5,1736
2020,1129,6,2672
2020,1129,7,5962
2020,1129,8,13810
2020,1129,9,16241
2020,1129,10,19973
2020,1129,11,25748
2020,1129,12,32652
2020,1131,3,14
2020,1131,4,1046
2020,1131,5,3057
2020,1131,6,6548
2020,1131,7,10531
2020,1131,8,14516
2020,1131,9,15808
2020,1131,10,17203
2020,1131,11,18228
2020,1131,12,23845
2020,1133,3,10
2020,1133,4,210
2020,1133,5,1296
2020,1133,6,4371
2020,1133,7,10244
2020,1133,8,15411
2020,1133,9,20244
2020,1133,10,26727
2020,1133,11,34425
2020,1133,12,52232
2020,2013,6,38
2020,2013,7,73
2020,2013,8,121
2020,2013,9,303
2020,2013,10,452
2020,2013,11,668
2020,2013,12,1220
2020,2016,6,101
2020,2016,7,1190
2020,2016,8,2765
2020,2016,9,2803
2020,2016,10,2997
2020,2016,11,3141
2020,2016,12,4886
2020,2020,3,407
2020,2020,4,3987
2020,2020,5,6244
2020,2020,6,10558
2020,2020,7,30652
2020,2020,8,79157
2020,2020,9,114225
2020,2020,10,192243
2020,2020,11,376373
