,PCIncome,fip-year,fips,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT,RUCC_2013,WA,BA,IA,AA,NA,TOM,NH,H
5161,34065.0,38097-2020,38097,7974,1.0562145435791646,4096,3878,40.7,472,962,2788,2064,1579,8.0,7583,64,125,42,2,158,7694,280
5162,36059.0,38097-2021,38097,8003,1.0684931506849316,4134,3869,40.4,464,974,2829,2024,1601,8.0,7597,76,132,47,2,149,7712,291
5163,34194.0,38099-2019,38099,10574,1.0504169090556523,5417,5157,43.7,713,1221,3381,2897,2252,6.0,9982,76,232,95,8,181,9324,1250
5164,34441.0,38099-2020,38099,10520,1.0667976424361494,5430,5090,43.3,668,1252,3380,2861,2221,6.0,9916,83,241,99,6,175,9233,1287
5165,35032.0,38099-2021,38099,10469,1.0693813006523027,5410,5059,43.4,626,1247,3394,2811,2252,6.0,9851,77,249,102,8,182,9148,1321
5166,34923.0,38101-2019,38101,68449,1.1047630761661695,35928,32521,32.0,5199,7872,31912,13638,9029,5.0,59681,3382,1730,1281,106,2269,63958,4491
5167,35891.0,38101-2020,38101,69847,1.1045859949379293,36659,33188,32.2,5178,8334,32468,13847,9162,5.0,60665,3516,2001,1266,117,2282,65163,4684
5168,36966.0,38101-2021,38101,69071,1.107043714346725,36290,32781,32.5,4940,8215,32097,13649,9274,5.0,59999,3383,2050,1186,129,2324,64238,4833
5169,35134.0,38103-2019,38103,3794,1.010598834128246,1907,1887,51.4,214,401,1003,1062,1075,9.0,3700,12,20,11,2,49,3748,46
5170,36563.0,38103-2020,38103,3955,1.0178571428571428,1995,1960,51.3,212,425,1054,1114,1101,9.0,3853,11,32,9,1,49,3906,49
5171,36951.0,38103-2021,38103,3905,1.0275181723779854,1979,1926,51.6,215,420,1038,1071,1110,9.0,3809,10,29,8,1,48,3853,52
5172,44235.0,38105-2019,38105,37897,1.1646769863483175,20390,17507,31.0,3814,5411,17003,7703,3443,7.0,32417,1978,1569,443,77,1413,34419,3478
5173,43364.0,38105-2020,38105,41149,1.1699625586668776,22186,18963,31.0,4075,6165,18365,8316,3659,7.0,34842,2299,1871,480,90,1567,37066,4083
5174,41200.0,38105-2021,38105,38484,1.1483838553006196,20571,17913,31.9,3619,5890,16753,7840,3799,7.0,32751,1919,1830,439,92,1453,34830,3654
5175,22366.0,39001-2019,39001,27640,0.9852043381455148,13717,13923,41.9,1680,3354,9481,7693,5065,6.0,26856,126,151,102,6,399,27355,285
5176,23294.0,39001-2020,39001,27434,0.9954902531277277,13686,13748,41.8,1723,3318,9335,7637,5000,6.0,26614,142,169,98,6,405,27129,305
5177,24539.0,39001-2021,39001,27542,0.9942075157483166,13731,13811,41.7,1703,3307,9457,7546,5096,6.0,26661,171,167,96,6,441,27227,315
5178,26761.0,39003-2019,39003,102450,1.021188446969697,51762,50688,39.1,6303,11751,38821,25719,18479,3.0,85015,13006,316,859,26,3228,98943,3507
5179,27231.0,39003-2020,39003,102059,1.0321167592537284,51836,50223,39.1,6195,11898,38654,25539,18354,3.0,84528,12986,331,879,30,3305,98397,3662
5180,28671.0,39003-2021,39003,101670,1.0323431815455963,51644,50026,39.0,6050,11831,38842,24972,18538,3.0,84096,12863,337,898,49,3427,97905,3765
5181,26017.0,39005-2019,39005,53418,0.9626703898298856,26201,27217,40.3,3069,6024,19627,13725,10273,4.0,51653,450,143,410,40,722,52636,782
5182,27403.0,39005-2020,39005,52420,0.9758763663776856,25890,26530,40.3,2966,5972,19255,13492,10017,4.0,50600,450,162,398,40,770,51576,844
5183,28992.0,39005-2021,39005,52316,0.973741794310722,25810,26506,40.4,2931,5878,19315,13254,10218,4.0,50459,481,162,414,41,759,51460,856
5184,24265.0,39007-2019,39007,97088,1.016491162481567,48941,48147,42.8,5546,10718,33398,27186,18996,4.0,90254,3712,321,473,44,2284,92723,4365
5185,25556.0,39007-2020,39007,97413,1.0276210894407094,49370,48043,42.7,5510,10870,33505,27084,19127,4.0,90505,3669,338,497,49,2355,92869,4544
5186,26777.0,39007-2021,39007,97337,1.0325120066819795,49447,47890,42.6,5459,10700,33689,26646,19487,4.0,90217,3769,351,518,50,2432,92634,4703
5187,22040.0,39009-2019,39009,65582,0.9908928083543304,32641,32941,30.9,2457,4676,34961,13973,8958,4.0,59822,1880,237,2031,36,1576,64318,1264
5188,22287.0,39009-2020,39009,62350,0.9972451790633609,31132,31218,31.4,2304,4508,32987,13360,8651,4.0,56875,1793,238,1831,39,1574,61116,1234
5189,24990.0,39009-2021,39009,62056,0.9954981027718824,30958,31098,31.6,2277,4493,32756,13165,8850,4.0,56638,1782,238,1759,40,1599,60829,1227
5190,31198.0,39011-2019,39011,45610,0.9978974111875246,22781,22829,40.8,2884,5488,15913,12062,8613,4.0,44355,286,114,264,34,557,44799,811
5191,32194.0,39011-2020,39011,46411,1.0048814203637306,23262,23149,40.4,2889,5735,16358,12132,8638,4.0,45078,324,117,258,43,591,45523,888
5192,33720.0,39011-2021,39011,46141,1.006653909715578,23147,22994,40.6,2820,5676,16324,11916,8751,4.0,44703,334,124,268,54,658,45251,890
5193,27580.0,39013-2019,39013,66979,1.0424785777452503,34186,32793,44.3,3200,6437,23669,18766,14192,3.0,62526,2848,118,352,17,1118,66207,772
5194,27393.0,39013-2020,39013,66235,1.0540532159027476,33989,32246,44.3,3137,6472,23270,18546,14041,3.0,61839,2723,122,370,17,1164,65471,764
5195,28348.0,39013-2021,39013,65849,1.0568813644030737,33835,32014,44.3,3081,6403,23194,18136,14258,3.0,61370,2790,130,352,17,1190,65056,793
5196,26696.0,39015-2019,39015,43473,0.9847059897735574,21569,21904,42.1,2581,4957,15069,12294,7962,1.0,42215,425,127,143,11,552,42957,516
5197,28320.0,39015-2020,39015,43629,0.9997708209194665,21812,21817,42.1,2521,5055,15137,12294,8024,1.0,42290,429,145,160,10,595,43077,552
5198,28658.0,39015-2021,39015,43662,0.9993589156516164,21824,21838,42.2,2491,5063,15137,12157,8214,1.0,42340,421,143,157,10,591,43103,559
5199,31921.0,39017-2019,39017,383603,0.9610001226893504,187987,195616,37.1,23019,45475,154675,96926,58209,1.0,321529,35413,1132,15214,525,9790,364464,19139
5200,33018.0,39017-2020,39017,390600,0.9743526236244988,192763,197837,37.1,23089,46903,157564,98475,59069,1.0,325394,37126,1193,16015,605,10267,370388,20212
5201,34632.0,39017-2021,39017,390234,0.9756882916999968,192716,197518,37.2,22670,46449,158026,97084,60391,1.0,322651,38200,1229,16896,646,10612,369272,20962
5202,29518.0,39019-2019,39019,26984,1.007439369141497,13542,13442,45.8,1436,2808,8688,7848,5881,2.0,26236,194,87,100,3,364,26647,337
5203,29915.0,39019-2020,39019,26689,1.0297361016046849,13540,13149,45.8,1397,2798,8578,7761,5815,2.0,25936,195,95,89,3,371,26321,368
5204,30965.0,39019-2021,39019,26691,1.0295794996578207,13540,13151,45.8,1379,2781,8588,7663,5918,2.0,25889,212,99,93,3,395,26295,396
5205,27722.0,39021-2019,39021,38930,0.9975370721945712,19441,19489,41.9,2116,4352,13788,10896,7247,6.0,36852,825,169,199,16,869,38295,635
5206,28403.0,39021-2020,39021,38705,1.0064800414722654,19415,19290,41.7,2140,4287,13836,10764,7121,6.0,36564,853,183,195,16,894,38060,645
5207,30090.0,39021-2021,39021,38699,1.0013963591228796,19363,19336,41.8,2096,4227,13911,10648,7251,6.0,36530,851,190,198,16,914,38000,699
5208,27066.0,39023-2019,39023,134315,0.9418942559312968,65148,69167,41.3,7931,15086,47808,35136,26667,3.0,116487,12079,490,981,91,4187,129425,4890
5209,27274.0,39023-2020,39023,135719,0.9552952702021292,66308,69411,41.1,7941,15497,48349,35506,26604,3.0,117568,12214,516,991,97,4333,130609,5110
5210,28679.0,39023-2021,39023,135633,0.9562828131310216,66301,69332,41.1,7876,15318,48743,34956,26868,3.0,117137,12325,518,1005,107,4541,130451,5182
5211,34390.0,39025-2019,39025,206851,0.9734866192815914,102036,104815,40.5,11838,23801,76137,57086,35126,1.0,196275,3584,461,3003,107,3421,202538,4313
5212,35472.0,39025-2020,39025,208635,0.986545932358318,103611,105024,40.6,11682,24156,76880,57220,35812,1.0,197696,3782,480,2985,118,3574,204109,4526
5213,38260.0,39025-2021,39025,209642,0.9848327053076064,104020,105622,40.7,11651,23778,77814,56380,37072,1.0,198317,4074,478,2989,116,3668,204947,4695
5214,26690.0,39027-2019,39027,42002,0.976006774557772,20746,21256,40.1,2500,4778,15500,11288,7361,6.0,39703,935,143,239,23,959,41260,742
5215,28107.0,39027-2020,39027,41962,0.9872134874029171,20846,21116,40.2,2437,4826,15546,11219,7355,6.0,39613,934,162,244,24,985,41159,803
5216,29651.0,39027-2021,39027,42004,0.9842222117246918,20835,21169,40.3,2395,4829,15611,11041,7550,6.0,39567,943,172,249,25,1048,41164,840
5217,26469.0,39029-2019,39029,101794,1.023858281806072,51497,50297,44.4,5281,10428,34729,28861,21330,4.0,96911,2573,246,330,42,1692,99804,1990
5218,26769.0,39029-2020,39029,101607,1.0390319279163571,51776,49831,44.3,5162,10598,34599,28725,21299,4.0,96590,2630,269,337,45,1736,99541,2066
5219,28538.0,39029-2021,39029,101310,1.042252101517931,51703,49607,44.3,5063,10565,34559,28230,21635,4.0,96206,2645,270,354,46,1789,99186,2124
5220,23432.0,39031-2019,39031,36549,0.9785091755535106,18076,18473,41.4,2372,4312,12445,9685,7228,6.0,35283,437,108,128,16,577,36112,437
5221,23863.0,39031-2020,39031,36548,0.9944338335607096,18223,18325,41.1,2337,4409,12498,9616,7174,6.0,35236,438,123,149,19,583,36106,442
